Date,value
6/4/2011,-0.002
6/5/2011,0.004
6/6/2011,0.01
6/7/2011,0.016
6/8/2011,0.022
6/9/2011,0.028
6/10/2011,0.034
6/11/2011,0.04
6/12/2011,0.046
6/13/2011,0.052
6/14/2011,0.058
6/15/2011,0.064
6/16/2011,0.07
6/17/2011,0.076
6/18/2011,0.082
6/19/2011,0.088
6/20/2011,0.094
6/21/2011,0.1
6/22/2011,0.106
6/23/2011,0.112
6/24/2011,0.118
6/25/2011,0.124
6/26/2011,0.13
6/27/2011,0.136
6/28/2011,0.142
6/29/2011,0.148
6/30/2011,0.154
7/1/2011,0.16
7/2/2011,0.154193548
7/3/2011,0.148387097
7/4/2011,0.142580645
7/5/2011,0.136774193
7/6/2011,0.130967742
7/7/2011,0.12516129
7/8/2011,0.119354838
7/9/2011,0.113548387
7/10/2011,0.107741935
7/11/2011,0.101935483
7/12/2011,0.096129032
7/13/2011,0.09032258
7/14/2011,0.084516129
7/15/2011,0.078709677
7/16/2011,0.072903225
7/17/2011,0.067096774
7/18/2011,0.061290322
7/19/2011,0.055483871
7/20/2011,0.049677419
7/21/2011,0.043870967
7/22/2011,0.038064516
7/23/2011,0.032258064
7/24/2011,0.026451613
7/25/2011,0.020645161
7/26/2011,0.01483871
7/27/2011,0.009032258
7/28/2011,0.003225806
7/29/2011,-0.002580645
7/30/2011,-0.008387097
7/31/2011,-0.014193548
8/1/2011,-0.02
8/2/2011,-0.028064516
8/3/2011,-0.036129032
8/4/2011,-0.044193548
8/5/2011,-0.052258064
8/6/2011,-0.06032258
8/7/2011,-0.068387096
8/8/2011,-0.076451612
8/9/2011,-0.084516128
8/10/2011,-0.092580644
8/11/2011,-0.10064516
8/12/2011,-0.108709676
8/13/2011,-0.116774192
8/14/2011,-0.124838708
8/15/2011,-0.132903224
8/16/2011,-0.14096774
8/17/2011,-0.149032256
8/18/2011,-0.157096772
8/19/2011,-0.165161288
8/20/2011,-0.173225804
8/21/2011,-0.18129032
8/22/2011,-0.189354837
8/23/2011,-0.197419353
8/24/2011,-0.205483869
8/25/2011,-0.213548385
8/26/2011,-0.221612902
8/27/2011,-0.229677418
8/28/2011,-0.237741934
8/29/2011,-0.245806451
8/30/2011,-0.253870967
8/31/2011,-0.261935484
9/1/2011,-0.27
9/2/2011,-0.256
9/3/2011,-0.242
9/4/2011,-0.227999999
9/5/2011,-0.213999999
9/6/2011,-0.199999999
9/7/2011,-0.185999999
9/8/2011,-0.171999999
9/9/2011,-0.157999999
9/10/2011,-0.143999999
9/11/2011,-0.129999999
9/12/2011,-0.115999999
9/13/2011,-0.101999999
9/14/2011,-0.087999999
9/15/2011,-0.073999999
9/16/2011,-0.059999999
9/17/2011,-0.045999999
9/18/2011,-0.031999999
9/19/2011,-0.017999999
9/20/2011,-0.003999999
9/21/2011,0.010000001
9/22/2011,0.024000001
9/23/2011,0.038000001
9/24/2011,0.052
9/25/2011,0.066
9/26/2011,0.08
9/27/2011,0.094
9/28/2011,0.108
9/29/2011,0.122
9/30/2011,0.136
10/1/2011,0.15
10/2/2011,0.134193548
10/3/2011,0.118387097
10/4/2011,0.102580645
10/5/2011,0.086774194
10/6/2011,0.070967742
10/7/2011,0.055161291
10/8/2011,0.039354839
10/9/2011,0.023548388
10/10/2011,0.007741936
10/11/2011,-0.008064515
