Date,TCU
4/26/2011,75.69634999
4/27/2011,75.69893999
4/28/2011,75.70152999
4/29/2011,75.70411999
4/30/2011,75.70671
5/1/2011,75.7093
5/2/2011,75.71345161
5/3/2011,75.71760322
5/4/2011,75.72175483
5/5/2011,75.72590644
5/6/2011,75.73005805
5/7/2011,75.73420966
5/8/2011,75.73836127
5/9/2011,75.74251288
5/10/2011,75.74666449
5/11/2011,75.7508161
5/12/2011,75.75496772
5/13/2011,75.75911933
5/14/2011,75.76327094
5/15/2011,75.76742255
5/16/2011,75.77157417
5/17/2011,75.77572578
5/18/2011,75.77987739
5/19/2011,75.784029
5/20/2011,75.78818062
5/21/2011,75.79233223
5/22/2011,75.79648385
5/23/2011,75.80063546
5/24/2011,75.80478708
5/25/2011,75.80893869
5/26/2011,75.81309031
5/27/2011,75.81724192
5/28/2011,75.82139354
5/29/2011,75.82554515
5/30/2011,75.82969677
5/31/2011,75.83384838
6/1/2011,75.838
6/2/2011,75.84888666
6/3/2011,75.85977333
6/4/2011,75.87065999
6/5/2011,75.88154665
6/6/2011,75.89243332
6/7/2011,75.90331998
6/8/2011,75.91420665
6/9/2011,75.92509331
6/10/2011,75.93597998
6/11/2011,75.94686664
6/12/2011,75.95775331
6/13/2011,75.96863997
6/14/2011,75.97952664
6/15/2011,75.9904133
6/16/2011,76.00129997
6/17/2011,76.01218664
6/18/2011,76.02307331
6/19/2011,76.03395997
6/20/2011,76.04484664
6/21/2011,76.05573331
6/22/2011,76.06661998
6/23/2011,76.07750664
6/24/2011,76.08839331
6/25/2011,76.09927998
6/26/2011,76.11016665
6/27/2011,76.12105332
6/28/2011,76.13193999
6/29/2011,76.14282666
6/30/2011,76.15371333
7/1/2011,76.1646
7/2/2011,76.17638387
7/3/2011,76.18816773
7/4/2011,76.1999516
7/5/2011,76.21173547
7/6/2011,76.22351934
7/7/2011,76.2353032
7/8/2011,76.24708707
7/9/2011,76.25887094
7/10/2011,76.27065481
7/11/2011,76.28243868
7/12/2011,76.29422255
7/13/2011,76.30600642
7/14/2011,76.31779029
7/15/2011,76.32957416
7/16/2011,76.34135803
7/17/2011,76.3531419
7/18/2011,76.36492577
7/19/2011,76.37670964
7/20/2011,76.38849352
7/21/2011,76.40027739
7/22/2011,76.41206126
7/23/2011,76.42384513
7/24/2011,76.43562901
7/25/2011,76.44741288
7/26/2011,76.45919675
7/27/2011,76.47098063
7/28/2011,76.4827645
7/29/2011,76.49454837
7/30/2011,76.50633225
7/31/2011,76.51811612
