"","time","value"
"1794",2014-11-29,11676.3800007667
"1795",2014-11-30,11678.9400003992
"1796",2014-12-01,11681.5000000051
"1797",2014-12-02,11683.5548390487
"1798",2014-12-03,11685.609678074
"1799",2014-12-04,11687.6645170684
"1800",2014-12-05,11689.7193560391
"1801",2014-12-06,11691.7741949912
"1802",2014-12-07,11693.8290339162
"1803",2014-12-08,11695.8838728181
"1804",2014-12-09,11697.938711696
"1805",2014-12-10,11699.9935505505
"1806",2014-12-11,11702.0483893845
"1807",2014-12-12,11704.103228201
"1808",2014-12-13,11706.1580669864
"1809",2014-12-14,11708.2129057476
"1810",2014-12-15,11710.2677444896
"1811",2014-12-16,11712.3225832214
"1812",2014-12-17,11714.3774219199
"1813",2014-12-18,11716.4322605975
"1814",2014-12-19,11718.487099255
"1815",2014-12-20,11720.5419378885
"1816",2014-12-21,11722.5967765224
"1817",2014-12-22,11724.6516151076
"1818",2014-12-23,11726.7064536863
"1819",2014-12-24,11728.7612922496
"1820",2014-12-25,11730.8161307816
"1821",2014-12-26,11732.8709693015
"1822",2014-12-27,11734.9258078036
"1823",2014-12-28,11736.9806462795
"1824",2014-12-29,11739.0354847389
"1825",2014-12-30,11741.0903231763
"1826",2014-12-31,11743.145161595
"1827",2015-01-01,11745.2000000006
"1828",2015-01-02,11749.029032474
"1829",2015-01-03,11752.8580649248
"1830",2015-01-04,11756.6870973573
"1831",2015-01-05,11760.5161297763
"1832",2015-01-06,11764.3451621711
"1833",2015-01-07,11768.1741945607
"1834",2015-01-08,11772.0032269296
"1835",2015-01-09,11775.8322592784
"1836",2015-01-10,11779.6612916224
"1837",2015-01-11,11783.4903239471
"1838",2015-01-12,11787.3193562612
"1839",2015-01-13,11791.1483885442
"1840",2015-01-14,11794.9774208306
"1841",2015-01-15,11798.8064530961
"1842",2015-01-16,11802.635485352
"1843",2015-01-17,11806.4645175948
"1844",2015-01-18,11810.2935498294
"1845",2015-01-19,11814.1225820413
"1846",2015-01-20,11817.951614254
"1847",2015-01-21,11821.780646449
"1848",2015-01-22,11825.6096786368
"1849",2015-01-23,11829.4387108077
"1850",2015-01-24,11833.2677429719
"1851",2015-01-25,11837.0967751388
"1852",2015-01-26,11840.9258072799
"1853",2015-01-27,11844.7548394183
"1854",2015-01-28,11848.5838715464
"1855",2015-01-29,11852.4129036773
"1856",2015-01-30,11856.2419357971
"1857",2015-01-31,11860.0709679025
"1858",2015-02-01,11863.9000000007
"1859",2015-02-02,11864.4607143774
"1860",2015-02-03,11865.0214287252
"1861",2015-02-04,11865.5821430677
"1862",2015-02-05,11866.1428574224
"1863",2015-02-06,11866.7035717551
"1864",2015-02-07,11867.2642860849
"1865",2015-02-08,11867.825000422
"1866",2015-02-09,11868.3857147427
"1867",2015-02-10,11868.9464290619
"1868",2015-02-11,11869.5071433666
"1869",2015-02-12,11870.0678576708
"1870",2015-02-13,11870.6285719628
"1871",2015-02-14,11871.1892862645
"1872",2015-02-15,11871.7500005445
"1873",2015-02-16,11872.3107148301
"1874",2015-02-17,11872.8714291013
"1875",2015-02-18,11873.4321433721
"1876",2015-02-19,11873.9928576348
"1877",2015-02-20,11874.5535718917
"1878",2015-02-21,11875.1142861479
"1879",2015-02-22,11875.6750004015
"1880",2015-02-23,11876.2357146455
"1881",2015-02-24,11876.7964288798
"1882",2015-02-25,11877.3571431161
"1883",2015-02-26,11877.9178573392
"1884",2015-02-27,11878.4785715719
"1885",2015-02-28,11879.0392857858
"1886",2015-03-01,11879.6000000065
"1887",2015-03-02,11881.1419355285
"1888",2015-03-03,11882.6838710538
"1889",2015-03-04,11884.2258065794
"1890",2015-03-05,11885.7677420983
"1891",2015-03-06,11887.30967761
"1892",2015-03-07,11888.8516131194
"1893",2015-03-08,11890.3935486207
"1894",2015-03-09,11891.9354841273
"1895",2015-03-10,11893.4774196275
"1896",2015-03-11,11895.0193551188
"1897",2015-03-12,11896.561290618
"1898",2015-03-13,11898.1032260985
"1899",2015-03-14,11899.6451615878
"1900",2015-03-15,11901.1870970734
"1901",2015-03-16,11902.7290325436
"1902",2015-03-17,11904.2709680214
"1903",2015-03-18,11905.8129034972
"1904",2015-03-19,11907.3548389737
"1905",2015-03-20,11908.896774446
"1906",2015-03-21,11910.4387099131
"1907",2015-03-22,11911.9806453878
"1908",2015-03-23,11913.5225808501
"1909",2015-03-24,11915.0645163127
"1910",2015-03-25,11916.6064517738
"1911",2015-03-26,11918.1483872365
"1912",2015-03-27,11919.690322705
"1913",2015-03-28,11921.2322581547
"1914",2015-03-29,11922.7741936231
"1915",2015-03-30,11924.3161290813
"1916",2015-03-31,11925.8580645415
"1917",2015-04-01,11927.4000000026
"1918",2015-04-02,11928.4966666468
"1919",2015-04-03,11929.5933333046
"1920",2015-04-04,11930.6899999503
"1921",2015-04-05,11931.7866666042
"1922",2015-04-06,11932.883333256
"1923",2015-04-07,11933.9799999002
"1924",2015-04-08,11935.0766665626
"1925",2015-04-09,11936.1733332081
"1926",2015-04-10,11937.269999866
"1927",2015-04-11,11938.3666665239
"1928",2015-04-12,11939.4633331763
"1929",2015-04-13,11940.5599998354
"1930",2015-04-14,11941.6566664882
"1931",2015-04-15,11942.7533331471
"1932",2015-04-16,11943.8499998146
"1933",2015-04-17,11944.9466664795
"1934",2015-04-18,11946.0433331345
"1935",2015-04-19,11947.1399998055
"1936",2015-04-20,11948.2366664755
"1937",2015-04-21,11949.3333331454
"1938",2015-04-22,11950.4299998165
"1939",2015-04-23,11951.526666492
"1940",2015-04-24,11952.6233331795
"1941",2015-04-25,11953.719999862
"1942",2015-04-26,11954.8166665493
"1943",2015-04-27,11955.9133332316
"1944",2015-04-28,11957.0099999156
"1945",2015-04-29,11958.1066666201
"1946",2015-04-30,11959.2033333032
"1947",2015-05-01,11960.300000005
"1948",2015-05-02,11961.7677418642
"1949",2015-05-03,11963.2354837309
"1950",2015-05-04,11964.703225597
"1951",2015-05-05,11966.1709674765
"1952",2015-05-06,11967.6387093553
"1953",2015-05-07,11969.1064512298
"1954",2015-05-08,11970.5741931195
"1955",2015-05-09,11972.0419350101
"1956",2015-05-10,11973.5096768996
"1957",2015-05-11,11974.9774187981
"1958",2015-05-12,11976.4451607056
"1959",2015-05-13,11977.9129026118
"1960",2015-05-14,11979.3806445325
"1961",2015-05-15,11980.8483864535
"1962",2015-05-16,11982.3161283664
"1963",2015-05-17,11983.783870299
"1964",2015-05-18,11985.2516122384
"1965",2015-05-19,11986.7193541757
"1966",2015-05-20,11988.1870961248
"1967",2015-05-21,11989.6548380703
"1968",2015-05-22,11991.1225800367
"1969",2015-05-23,11992.5903219983
"1970",2015-05-24,11994.0580639701
"1971",2015-05-25,11995.5258059452
"1972",2015-05-26,11996.9935479351
"1973",2015-05-27,11998.4612899305
