Date,XOI
10/10/2017,"1,218.00"
10/9/2017,"1,212.52"
10/6/2017,"1,210.29"
10/5/2017,"1,221.44"
10/4/2017,"1,218.04"
10/3/2017,"1,218.81"
10/2/2017,"1,216.20"
9/29/2017,"1,216.14"
9/28/2017,"1,214.17"
9/27/2017,"1,213.11"
9/26/2017,"1,209.24"
9/25/2017,"1,209.36"
9/22/2017,"1,193.19"
9/21/2017,"1,186.51"
9/20/2017,"1,181.78"
9/19/2017,"1,172.15"
9/18/2017,"1,165.86"
9/15/2017,"1,161.16"
9/14/2017,"1,154.66"
9/13/2017,"1,153.69"
9/12/2017,"1,140.76"
9/11/2017,"1,136.34"
9/8/2017,"1,126.54"
9/7/2017,"1,136.62"
9/6/2017,"1,130.62"
9/5/2017,"1,114.41"
9/1/2017,"1,115.57"
8/31/2017,"1,104.10"
8/30/2017,"1,098.12"
8/29/2017,"1,096.89"
8/28/2017,"1,099.61"
8/25/2017,"1,103.64"
8/24/2017,"1,099.50"
8/23/2017,"1,095.61"
8/22/2017,"1,088.79"
8/21/2017,"1,080.61"
8/18/2017,"1,085.27"
8/17/2017,"1,077.70"
8/16/2017,"1,095.56"
8/15/2017,"1,110.43"
8/14/2017,"1,113.56"
8/11/2017,"1,117.85"
8/10/2017,"1,122.93"
8/9/2017,"1,136.86"
8/8/2017,"1,141.92"
8/7/2017,"1,142.80"
8/4/2017,"1,150.65"
8/3/2017,"1,142.27"
8/2/2017,"1,155.15"
8/1/2017,"1,153.03"
7/31/2017,"1,152.32"
7/28/2017,"1,147.56"
7/27/2017,"1,147.68"
7/26/2017,"1,136.63"
7/25/2017,"1,136.71"
7/24/2017,"1,119.07"
7/21/2017,"1,119.07"
7/20/2017,"1,127.55"
7/19/2017,"1,133.12"
7/18/2017,"1,116.51"
7/17/2017,"1,117.31"
7/14/2017,"1,119.50"
7/13/2017,"1,112.95"
7/12/2017,"1,109.80"
7/11/2017,"1,105.57"
7/10/2017,"1,100.65"
7/7/2017,"1,098.23"
7/6/2017,"1,098.13"
7/5/2017,"1,109.18"
7/3/2017,"1,130.24"
6/30/2017,"1,111.81"
6/29/2017,"1,109.14"
6/28/2017,"1,108.90"
6/27/2017,"1,100.74"
6/26/2017,"1,099.07"
6/23/2017,"1,102.46"
6/22/2017,"1,095.62"
6/21/2017,"1,095.56"
6/20/2017,"1,110.54"
6/19/2017,"1,129.17"
6/16/2017,"1,131.88"
6/15/2017,"1,112.76"
6/14/2017,"1,123.12"
6/13/2017,"1,146.64"
6/12/2017,"1,137.53"
6/9/2017,"1,132.73"
6/8/2017,"1,107.25"
6/7/2017,"1,111.64"
6/6/2017,"1,131.23"
6/5/2017,"1,120.65"
6/2/2017,"1,120.19"
6/1/2017,"1,129.57"
5/31/2017,"1,121.39"
5/30/2017,"1,129.81"
5/26/2017,"1,141.97"
5/25/2017,"1,141.72"
5/24/2017,"1,160.00"
5/23/2017,"1,162.42"
5/22/2017,"1,161.87"
5/19/2017,"1,162.95"
5/18/2017,"1,147.00"
5/17/2017,"1,151.06"
5/16/2017,"1,164.59"
5/15/2017,"1,169.74"
5/12/2017,"1,162.80"
5/11/2017,"1,160.25"
5/10/2017,"1,162.83"
5/9/2017,"1,147.65"
5/8/2017,"1,154.19"
5/5/2017,"1,147.27"
5/4/2017,"1,125.24"
5/3/2017,"1,144.32"
5/2/2017,"1,147.15"
5/1/2017,"1,152.41"
4/28/2017,"1,157.03"
4/27/2017,"1,156.03"
4/26/2017,"1,164.98"
4/25/2017,"1,171.58"
4/24/2017,"1,162.32"
4/21/2017,"1,149.59"
4/20/2017,"1,148.29"
4/19/2017,"1,143.01"
4/18/2017,"1,161.27"
4/17/2017,"1,176.64"
4/14/2017,"1,102.54"
4/13/2017,"1,170.83"
4/12/2017,"1,191.07"
4/11/2017,"1,195.90"
4/10/2017,"1,195.28"
4/7/2017,"1,185.19"
4/6/2017,"1,185.84"
4/5/2017,"1,179.29"
4/4/2017,"1,186.96"
4/3/2017,"1,177.68"
3/31/2017,"1,182.27"
3/30/2017,"1,185.70"
3/29/2017,"1,183.99"
3/28/2017,"1,168.39"
3/27/2017,"1,153.48"
3/24/2017,"1,157.22"
3/23/2017,"1,164.03"
3/22/2017,"1,168.96"
3/21/2017,"1,168.94"
3/20/2017,"1,180.29"
3/17/2017,"1,182.18"
3/16/2017,"1,181.20"
3/15/2017,"1,186.37"
3/14/2017,"1,160.06"
3/13/2017,"1,174.63"
3/10/2017,"1,171.38"
3/9/2017,"1,169.47"
3/8/2017,"1,164.06"
3/7/2017,"1,193.73"
3/6/2017,"1,205.09"
3/3/2017,"1,200.96"
3/2/2017,"1,202.44"
3/1/2017,"1,216.04"
2/28/2017,"1,197.73"
2/27/2017,"1,203.35"
2/24/2017,"1,195.12"
