Date,MSCI
2/6/2013,34.669998
2/7/2013,33.48
2/8/2013,33.990002
2/11/2013,33.68
2/12/2013,34.029999
2/13/2013,33.759998
2/14/2013,33.75
2/15/2013,33.41
2/19/2013,33.580002
2/20/2013,33.200001
2/21/2013,32.990002
2/22/2013,33.150002
2/25/2013,32.740002
2/26/2013,32.759998
2/27/2013,33.419998
2/28/2013,33.130001
3/1/2013,33.009998
3/4/2013,32.889999
3/5/2013,33.23
3/6/2013,33.419998
3/7/2013,33.32
3/8/2013,33.540001
3/11/2013,33.740002
3/12/2013,33.310001
3/13/2013,33.299999
3/14/2013,33.669998
3/15/2013,33.709999
3/18/2013,33.830002
3/19/2013,33.830002
3/20/2013,34
3/21/2013,33.599998
3/22/2013,33.77
3/25/2013,33.599998
3/26/2013,33.779999
3/27/2013,34.040001
3/28/2013,33.93
4/1/2013,33.349998
4/2/2013,33.130001
4/3/2013,32.43
4/4/2013,32.66
4/5/2013,32.34
4/8/2013,32.669998
4/9/2013,32.509998
4/10/2013,33.220001
4/11/2013,33.57
4/12/2013,33.52
4/15/2013,32.349998
4/16/2013,32.900002
4/17/2013,32.580002
4/18/2013,32.41
4/19/2013,32.82
4/22/2013,32.900002
4/23/2013,33.279999
4/24/2013,33.23
4/25/2013,33.310001
4/26/2013,33.220001
4/29/2013,33.450001
4/30/2013,34.099998
5/1/2013,33.259998
5/2/2013,33.650002
5/3/2013,33.32
5/6/2013,33.330002
5/7/2013,33.560001
5/8/2013,34.139999
5/9/2013,33.860001
5/10/2013,33.950001
5/13/2013,33.939999
5/14/2013,34.450001
5/15/2013,34.259998
5/16/2013,34.57
5/17/2013,34.66
5/20/2013,34.529999
5/21/2013,34.720001
5/22/2013,34.240002
5/23/2013,34.490002
5/24/2013,34.470001
5/28/2013,35.040001
5/29/2013,35.220001
5/30/2013,35.73
5/31/2013,35.240002
6/3/2013,35.169998
6/4/2013,34.98
6/5/2013,34.279999
6/6/2013,34.799999
6/7/2013,34.700001
6/10/2013,34.900002
6/11/2013,34.580002
6/12/2013,34.049999
6/13/2013,34.34
6/14/2013,34.16
6/17/2013,34.5
6/18/2013,34.59
6/19/2013,33.98
6/20/2013,33.450001
6/21/2013,33.07
6/24/2013,32.799999
6/25/2013,32.970001
6/26/2013,32.689999
6/27/2013,32.799999
6/28/2013,33.27
7/1/2013,34.119999
7/2/2013,33.900002
7/3/2013,34.150002
7/5/2013,34.450001
7/8/2013,34.540001
7/9/2013,34.25
7/10/2013,33.720001
7/11/2013,34.400002
7/12/2013,34.560001
7/15/2013,34.669998
7/16/2013,34.43
7/17/2013,34.490002
7/18/2013,34.700001
7/19/2013,34.93
7/22/2013,35.369999
7/23/2013,35.25
7/24/2013,35.080002
7/25/2013,35.389999
7/26/2013,35.130001
7/29/2013,34.860001
7/30/2013,34.919998
7/31/2013,35.049999
8/1/2013,36.52
8/2/2013,37.450001
8/5/2013,37.779999
8/6/2013,37.619999
8/7/2013,37.41
8/8/2013,37.830002
8/9/2013,37.990002
8/12/2013,37.889999
8/13/2013,37.919998
8/14/2013,37.93
8/15/2013,37.549999
8/16/2013,37.439999
8/19/2013,38
8/20/2013,38.25
8/21/2013,38.080002
8/22/2013,38.5
8/23/2013,38.470001
8/26/2013,38.599998
8/27/2013,37.57
8/28/2013,38.080002
8/29/2013,38.16
8/30/2013,37.509998
9/3/2013,37.48
9/4/2013,38.169998
9/5/2013,38.43
9/6/2013,38.759998
9/9/2013,39.459999
9/10/2013,39.639999
9/11/2013,39.669998
9/12/2013,39.650002
9/13/2013,39.66
9/16/2013,40.049999
9/17/2013,40.639999
9/18/2013,41.009998
9/19/2013,40.779999
9/20/2013,40.32
9/23/2013,40.240002
9/24/2013,40.25
9/25/2013,40.330002
9/26/2013,40.669998
9/27/2013,40.23
9/30/2013,40.259998
10/1/2013,40.529999
10/2/2013,40.07
10/3/2013,39.91
10/4/2013,40.259998
10/7/2013,39.630001
10/8/2013,38.91
10/9/2013,38.310001
10/10/2013,39.189999
10/11/2013,39.689999
10/14/2013,39.720001
10/15/2013,39.540001
10/16/2013,39.599998
10/17/2013,40
10/18/2013,40.349998
10/21/2013,40.509998
10/22/2013,40.599998
10/23/2013,40.93
10/24/2013,41.32
10/25/2013,41.369999
10/28/2013,41.34
10/29/2013,41.900002
10/30/2013,41.209999
10/31/2013,40.77
11/1/2013,40.970001
11/4/2013,41.419998
11/5/2013,41.380001
11/6/2013,41.419998
11/7/2013,40.630001
11/8/2013,41.619999
11/11/2013,41.779999
11/12/2013,41.91
11/13/2013,42.380001
11/14/2013,43.02
11/15/2013,43.48
11/18/2013,43.02
11/19/2013,43.040001
11/20/2013,43.099998
11/21/2013,43.860001
11/22/2013,44.080002
11/25/2013,44.450001
11/26/2013,44.57
11/27/2013,44.5
11/29/2013,44.389999
12/2/2013,44.709999
12/3/2013,44.189999
12/4/2013,43.91
12/5/2013,43.869999
12/6/2013,44.209999
12/9/2013,44.150002
12/10/2013,43.599998
12/11/2013,42.84
12/12/2013,43.470001
12/13/2013,43.459999
12/16/2013,43.189999
12/17/2013,42.669998
12/18/2013,42.990002
12/19/2013,42.049999
12/20/2013,42.599998
12/23/2013,43
12/24/2013,43.34
12/26/2013,43.389999
12/27/2013,43.470001
12/30/2013,43.639999
12/31/2013,43.720001
1/2/2014,43.150002
1/3/2014,43.169998
1/6/2014,43.099998
1/7/2014,43.540001
1/8/2014,43.470001
1/9/2014,43.619999
1/10/2014,43.779999
1/13/2014,43.119999
1/14/2014,43.66
1/15/2014,43.43
1/16/2014,44
1/17/2014,44.220001
1/21/2014,44.610001
1/22/2014,44.950001
1/23/2014,44.900002
1/24/2014,42.970001
1/27/2014,42.220001
1/28/2014,42.34
1/29/2014,41.5
1/30/2014,42.580002
1/31/2014,42.720001
2/3/2014,41.009998
2/4/2014,41.720001
2/5/2014,41.509998
2/6/2014,40.740002
2/7/2014,40.279999
2/10/2014,40.68
2/11/2014,41.459999
2/12/2014,42.259998
2/13/2014,42.450001
2/14/2014,42.740002
2/18/2014,43.869999
2/19/2014,43.490002
2/20/2014,44.98
2/21/2014,44.529999
2/24/2014,44.209999
2/25/2014,43.849998
2/26/2014,43.830002
2/27/2014,43.720001
2/28/2014,43.709999
3/3/2014,44.18
3/4/2014,45.599998
3/5/2014,45.139999
3/6/2014,45.740002
3/7/2014,45.75
3/10/2014,45.740002
3/11/2014,45.990002
